,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
942,2009.01.24.b,Jan,2009,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,N
943,2009.01.24.a,Jan,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,25,Y
944,2009.01.23,Jan,2009,Invalid,BRAZIL,Maranh�o,Olho d'�gua ,Swimming,M,17,Y
948,2009.01.12,Jan,2009,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,24,N
949,2009.01.11.b,Jan,2009,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,13,N
950,2009.01.11.a,Jan,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,31,N
952,2009.01.10.a,Jan,2009,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,22,N
953,2009.01.06,Jan,2009,Unprovoked,NEW ZEALAND,North Island,Haumoana ,Swimming,M,49,N
957,2008.12.27.c,Dec,2008,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,M,10,N
958,2008.12.27.b,Dec,2008,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,M,29,N
959,2008.12.27.a,Dec,2008,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,M,51,Y
962,2008.12.10,Dec,2008,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,M,15,N
969,2008.11.09.a,Nov,2008,Sea Disaster,TAIWAN,Unknown,50 miles off Kaohsiung,Fishing boat swamped in storm,M,45,Y
970,2008.11.06,Nov,2008,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Y
971,2008.10.22,Oct,2008,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,M,34,N
972,2008.10.21,Oct,2008,Unprovoked,NEW CALEDONIA,Unknown,Unknown,Spearfishing,M,24,N
973,2008.10.12,Oct,2008,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,50,N
974,2008.10.11,Oct,2008,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,M,15,N
975,2008.10.08,Oct,2008,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,11,N
976,2008.10.06,Oct,2008,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,43,N
977,2008.09.28.b,Sep,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,44,N
978,2008.09.28.a,Sep,2008,Unprovoked,USA,Florida,Bethune Beach,Surfing,M,40,N
979,2008.09.15,Sep,2008,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,43,N
980,2008.09.14,Sep,2008,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,32,N
981,2008.09.09,Sep,2008,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,M,40,N
983,2008.09.07,Sep,2008,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,N
984,2008.09.06.b,Sep,2008,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,43,N
985,2008.09.06.a,Sep,2008,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,15,N
986,2008.09.01,Sep,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,N
988,2008.08.30.c,Aug,2008,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,29,N
989,2008.08.30.b,Aug,2008,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,M,27,Y
990,2008.08.30.a,Aug,2008,Provoked,ENGLAND,North Devon, Lundy Island,Fishing,M,52,N
991,2008.08.28,Aug,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N
992,2008.08.27,Aug,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,N
993,2008.08.24,Aug,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,N
994,2008.08.22,Aug,2008,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,F,20,N
995,2008.08.20,Aug,2008,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,47,N
996,2008.08.18,Aug,2008,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",Unknown,M,7,N
